3216,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,-2/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3217,false,{},false
3218,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3219,false,{},false
3220,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3221,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1}},false
3222,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3223,false,{},false
3224,false,{},false
3225,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3226,false,{},false
3227,false,{},false
3228,false,{},false
3229,false,{},false
3230,false,{},false
3231,false,{},false
3232,false,{},false
3233,false,{},false
3234,false,{},false
3235,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,-1/1}},false
3236,false,{},false
3237,false,{},false
3238,true,{{-1/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{-1/1,0/1,0/1,0/1,-1/1,0/1},{-1/1,0/1,0/1,0/1,0/1,0/1},{-1/1,0/1,0/1,0/1,0/1,-1/1}},false
3239,true,{{-1/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{-1/1,0/1,0/1,0/1,-1/1,0/1},{-1/1,0/1,0/1,0/1,0/1,0/1},{-1/1,0/1,0/1,0/1,0/1,-1/1}},false
3240,false,{},false
3241,false,{},false
3242,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,-1/1}},false
3243,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1}},false
3244,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3245,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3246,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3247,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3248,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,-1/1}},false
3249,false,{},false
3250,false,{},false
3251,false,{},false
3252,false,{},false
3253,false,{},false
3254,false,{},false
3255,false,{},false
3256,true,{{0/1,0/1,1/1,0/1,0/1,0/1},{-1/1,0/1,0/1,1/1,0/1,-1/1},{-1/1,-1/1,0/1,0/1,-1/1,-1/1},{-1/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{-1/1,0/1,0/1,0/1,0/1,-1/1}},false
3257,false,{},false
3258,false,{},false
3259,false,{},false
3260,false,{},false
3261,true,{{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{-1/1,0/1,0/1,0/1,-1/1,0/1},{-1/1,0/1,0/1,0/1,0/1,0/1},{-1/1,0/1,0/1,0/1,0/1,-1/1}},false
3262,false,{},false
3263,false,{},false
3264,false,{},false
3265,false,{},false
3266,false,{},false
3267,false,{},false
3268,false,{},false
3269,false,{},false
3270,false,{},false
3271,false,{},false
3272,false,{},false
3273,false,{},false
3274,false,{},false
3275,false,{},false
3276,false,{},false
3277,false,{},false
3278,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1}},false
3279,false,{},false
3280,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3281,false,{},false
3282,false,{},false
3283,false,{},false
3284,false,{},false
3285,false,{},false
3286,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3287,false,{},false
3288,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3289,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3290,false,{},false
3291,false,{},false
3292,false,{},false
3293,false,{},false
3294,false,{},false
3295,false,{},false
3296,false,{},false
3297,false,{},false
3298,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3299,false,{},false
3300,false,{},false
3301,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-2/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3302,false,{},false
3303,false,{},false
3304,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3305,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3306,false,{},false
3307,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1}},false
3308,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3309,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3310,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3311,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3312,false,{},false
3313,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3314,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,-1/1,0/1,-1/1,-1/1}},false
3315,true,{{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{-1/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{-1/1,-1/1,0/1,0/1,-1/1,0/1},{-1/1,-1/1,0/1,0/1,-1/1,-1/1}},false
3316,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3317,false,{},false
3318,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,0/1,-1/1,0/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3319,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,1/1,0/1,-1/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,0/1}},false
3320,true,{{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{-1/1,-1/1,0/1,0/1,0/1,-1/1},{-1/1,-1/1,0/1,0/1,0/1,-2/1}},false
3321,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3322,true,{{0/1,0/1,1/1,0/1,0/1,0/1},{-1/1,0/1,0/1,1/1,0/1,-1/1},{-1/1,0/1,0/1,0/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3323,true,{{0/1,0/1,1/1,0/1,0/1,0/1},{-1/1,0/1,0/1,1/1,0/1,-1/1},{-1/1,0/1,0/1,0/1,-1/1,0/1},{-1/1,-1/1,0/1,0/1,-1/1,0/1},{-1/1,0/1,0/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,0/1}},false
3324,false,{},false
3325,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3326,false,{},false
3327,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1}},false
3328,false,{},false
3329,false,{},false
3330,false,{},false
3331,false,{},false
3332,false,{},false
3333,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3334,false,{},false
3335,false,{},false
3336,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,1/1,0/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1,-1/1},{0/1,-1/1,-2/1,0/1,-1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1,-1/1},{0/1,-1/1,-1/1,0/1,-1/1,-1/1}},false
3337,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1}},false
3338,false,{},false
3339,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3340,false,{},false
3341,false,{},false
3342,false,{},false
3343,false,{},false
3344,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1}},false
3345,false,{},false
3346,false,{},false
3347,false,{},false
3348,false,{},false
3349,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,-1/1}},false
3350,false,{},false
3351,false,{},false
3352,false,{},false
3353,false,{},false
3354,false,{},false
3355,false,{},false
3356,false,{},false
3357,false,{},false
3358,false,{},false
3359,false,{},false
3360,false,{},false
3361,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,-1/1}},false
3362,false,{},false
3363,false,{},false
3364,false,{},false
3365,false,{},false
3366,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3367,false,{},false
3368,false,{},false
3369,false,{},false
3370,false,{},false
3371,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1}},false
3372,false,{},false
3373,false,{},false
3374,false,{},false
3375,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3376,false,{},false
3377,false,{},false
3378,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1}},false
3379,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1}},false
3380,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3381,false,{},false
3382,false,{},false
3383,false,{},false
3384,false,{},false
3385,false,{},false
3386,false,{},false
3387,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3388,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3389,false,{},false
3390,false,{},false
3391,true,{{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{-1/1,-1/1,0/1,0/1,-1/1,-1/1},{-1/1,-1/1,0/1,0/1,0/1,-1/1},{-1/1,0/1,0/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3392,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3393,false,{},false
3394,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,-1/1,0/1,-1/1,-1/1}},false
3395,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3396,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3397,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,0/1}},false
3398,false,{},false
3399,false,{},false
3400,false,{},false
3401,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,1/1,0/1,-1/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,0/1}},false
3402,false,{},false
3403,false,{},false
3404,false,{},false
3405,false,{},false
3406,false,{},false
3407,false,{},false
3408,false,{},false
3409,false,{},false
3410,false,{},false
3411,true,{{-1/1,0/1,0/1,1/1,-1/1,0/1},{-1/1,0/1,-1/1,0/1,-1/1,0/1},{-1/1,-1/1,-1/1,0/1,0/1,-1/1},{-1/1,0/1,-1/1,0/1,0/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1,-1/1},{-1/1,0/1,0/1,0/1,-1/1,0/1}},false
3412,false,{},false
3413,false,{},false
3414,false,{},false
3415,false,{},false
3416,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1}},false
3417,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3418,false,{},false
3419,false,{},false
3420,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1,-1/1},{0/1,0/1,-1/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,-1/1}},false
3421,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3422,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
3423,false,{},false
3424,false,{},false
3425,false,{},false
3426,false,{},false
3427,false,{},false
3428,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3429,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1,-1/1}},false
3430,true,{{0/1,0/1,1/1,0/1,0/1,0/1},{-1/1,0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{-1/1,-1/1,0/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,-1/1},{-1/1,0/1,0/1,0/1,0/1,-1/1}},false
3431,false,{},false
3432,false,{},false
