49,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,-1/1,0/1},{0/1,0/1,0/1,-4/1,-1/1,-1/1}},false
50,false,{},false
51,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1}},false
52,false,{},false
53,false,{},false
54,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,0/1,-1/1}},false
55,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,0/1,-1/1}},false
56,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,0/1,-1/1}},false
57,false,{},false
58,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,0/1,-1/1}},false
59,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,0/1,-1/1}},false
60,false,{},false
61,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,0/1,-1/1}},false
62,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,0/1,-1/1}},false
63,false,{},false
64,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,0/1,-1/1}},false
65,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
66,false,{},false
67,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
68,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,0/1,-1/1}},false
69,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
70,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-2/1,-1/1}},false
71,true,{{1/1,0/1,-1/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-3/1,0/1,0/1,-1/1}},false
72,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
73,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
74,false,{},false
75,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1}},false
