50,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
51,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
52,false,{},false
53,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
54,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
55,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
56,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
57,false,{},false
58,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
59,false,{},false
60,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1}},false
61,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,-2/1,-1/1,-1/1,-1/1}},false
62,false,{},false
63,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1}},false
64,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,-1/1,-2/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
65,false,{},false
66,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-1/1,-2/1,-1/1}},false
67,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
68,false,{},false
69,false,{},false
70,false,{},false
71,false,{},false
72,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
73,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1}},false
74,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1}},false
75,false,{},false
76,false,{},false
77,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
78,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1}},false
79,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-2/1,0/1,-1/1},{0/1,0/1,-1/1,0/1,-1/1}},false
80,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-2/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
81,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
82,false,{},false
83,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
84,false,{},false
85,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
86,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
87,false,{},false
88,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
89,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-1/1,0/1,-1/1}},false
90,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
91,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
92,false,{},false
93,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
94,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
95,false,{},false
96,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
97,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
98,false,{},false
99,false,{},false
100,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
101,false,{},false
102,false,{},false
103,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
104,false,{},false
105,false,{},false
106,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
107,false,{},false
108,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
109,false,{},false
110,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
111,false,{},false
112,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
113,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1}},false
114,false,{},false
115,false,{},false
